"K","x","y","P","r","g","b"
29900,0.249,0.2528,1.27e+17,0.3473,0.519,1
30000,0.2489,0.2528,1.277e+17,0.3471,0.5188,1
30100,0.2489,0.2527,1.283e+17,0.3468,0.5186,1
30200,0.2488,0.2527,1.289e+17,0.3465,0.5183,1
30300,0.2488,0.2526,1.296e+17,0.3463,0.5181,1
30400,0.2488,0.2526,1.302e+17,0.346,0.5179,1
30500,0.2487,0.2525,1.309e+17,0.3457,0.5177,1
30600,0.2487,0.2525,1.315e+17,0.3455,0.5174,1
30700,0.2487,0.2524,1.322e+17,0.3452,0.5172,1
30800,0.2486,0.2524,1.328e+17,0.345,0.517,1
30900,0.2486,0.2523,1.335e+17,0.3447,0.5168,1
31000,0.2485,0.2523,1.341e+17,0.3444,0.5166,1
31100,0.2485,0.2522,1.348e+17,0.3442,0.5164,1
31200,0.2485,0.2522,1.354e+17,0.3439,0.5161,1
31300,0.2484,0.2521,1.36e+17,0.3437,0.5159,1
31400,0.2484,0.2521,1.367e+17,0.3435,0.5157,1
31500,0.2484,0.252,1.373e+17,0.3432,0.5155,1
31600,0.2483,0.252,1.38e+17,0.343,0.5153,1
31700,0.2483,0.2519,1.386e+17,0.3427,0.5151,1
31800,0.2482,0.2519,1.393e+17,0.3425,0.5149,1
31900,0.2482,0.2518,1.399e+17,0.3423,0.5147,1
32000,0.2482,0.2518,1.406e+17,0.342,0.5145,1
32100,0.2481,0.2517,1.412e+17,0.3418,0.5143,1
32200,0.2481,0.2517,1.419e+17,0.3416,0.5141,1
32300,0.2481,0.2516,1.425e+17,0.3413,0.5139,1
32400,0.248,0.2516,1.432e+17,0.3411,0.5137,1
32500,0.248,0.2516,1.438e+17,0.3409,0.5135,1
32600,0.248,0.2515,1.445e+17,0.3407,0.5133,1
32700,0.2479,0.2515,1.451e+17,0.3404,0.5132,1
32800,0.2479,0.2514,1.458e+17,0.3402,0.513,1
32900,0.2479,0.2514,1.464e+17,0.34,0.5128,1
33000,0.2478,0.2513,1.471e+17,0.3398,0.5126,1
33100,0.2478,0.2513,1.477e+17,0.3396,0.5124,1
33200,0.2478,0.2513,1.484e+17,0.3393,0.5122,1
33300,0.2477,0.2512,1.49e+17,0.3391,0.512,1
33400,0.2477,0.2512,1.497e+17,0.3389,0.5119,1
33500,0.2477,0.2511,1.503e+17,0.3387,0.5117,1
33600,0.2476,0.2511,1.51e+17,0.3385,0.5115,1
33700,0.2476,0.251,1.516e+17,0.3383,0.5113,1
33800,0.2476,0.251,1.523e+17,0.3381,0.5112,1
33900,0.2476,0.251,1.53e+17,0.3379,0.511,1
34000,0.2475,0.2509,1.536e+17,0.3377,0.5108,1
34100,0.2475,0.2509,1.543e+17,0.3375,0.5106,1
34200,0.2475,0.2508,1.549e+17,0.3373,0.5105,1
34300,0.2474,0.2508,1.556e+17,0.3371,0.5103,1
34400,0.2474,0.2508,1.562e+17,0.3369,0.5101,1
34500,0.2474,0.2507,1.569e+17,0.3367,0.51,1
34600,0.2473,0.2507,1.575e+17,0.3365,0.5098,1
34700,0.2473,0.2506,1.582e+17,0.3363,0.5096,1
34800,0.2473,0.2506,1.588e+17,0.3361,0.5095,1
34900,0.2473,0.2506,1.595e+17,0.3359,0.5093,1
35000,0.2472,0.2505,1.602e+17,0.3357,0.5091,1
35100,0.2472,0.2505,1.608e+17,0.3356,0.509,1
35200,0.2472,0.2505,1.615e+17,0.3354,0.5088,1
35300,0.2471,0.2504,1.621e+17,0.3352,0.5087,1
35400,0.2471,0.2504,1.628e+17,0.335,0.5085,1
35500,0.2471,0.2503,1.634e+17,0.3348,0.5084,1
35600,0.2471,0.2503,1.641e+17,0.3346,0.5082,1
35700,0.247,0.2503,1.647e+17,0.3345,0.508,1
35800,0.247,0.2502,1.654e+17,0.3343,0.5079,1
35900,0.247,0.2502,1.661e+17,0.3341,0.5077,1
36000,0.247,0.2502,1.667e+17,0.3339,0.5076,1
36100,0.2469,0.2501,1.674e+17,0.3338,0.5074,1
36200,0.2469,0.2501,1.68e+17,0.3336,0.5073,1
36300,0.2469,0.2501,1.687e+17,0.3334,0.5071,1
36400,0.2468,0.25,1.693e+17,0.3332,0.507,1
36500,0.2468,0.25,1.7e+17,0.3331,0.5068,1
36600,0.2468,0.25,1.707e+17,0.3329,0.5067,1
36700,0.2468,0.2499,1.713e+17,0.3327,0.5066,1
36800,0.2467,0.2499,1.72e+17,0.3326,0.5064,1
36900,0.2467,0.2498,1.726e+17,0.3324,0.5063,1
37000,0.2467,0.2498,1.733e+17,0.3322,0.5061,1
37100,0.2467,0.2498,1.74e+17,0.3321,0.506,1
37200,0.2466,0.2497,1.746e+17,0.3319,0.5058,1
37300,0.2466,0.2497,1.753e+17,0.3317,0.5057,1
37400,0.2466,0.2497,1.759e+17,0.3316,0.5056,1
37500,0.2466,0.2497,1.766e+17,0.3314,0.5054,1
37600,0.2465,0.2496,1.772e+17,0.3313,0.5053,1
37700,0.2465,0.2496,1.779e+17,0.3311,0.5052,1
37800,0.2465,0.2496,1.786e+17,0.3309,0.505,1
37900,0.2465,0.2495,1.792e+17,0.3308,0.5049,1
38000,0.2465,0.2495,1.799e+17,0.3306,0.5048,1
38100,0.2464,0.2495,1.805e+17,0.3305,0.5046,1
38200,0.2464,0.2494,1.812e+17,0.3303,0.5045,1
38300,0.2464,0.2494,1.819e+17,0.3302,0.5044,1
38400,0.2464,0.2494,1.825e+17,0.33,0.5042,1
38500,0.2463,0.2493,1.832e+17,0.3299,0.5041,1
38600,0.2463,0.2493,1.839e+17,0.3297,0.504,1
38700,0.2463,0.2493,1.845e+17,0.3296,0.5038,1
38800,0.2463,0.2492,1.852e+17,0.3294,0.5037,1
38900,0.2462,0.2492,1.858e+17,0.3293,0.5036,1
39000,0.2462,0.2492,1.865e+17,0.3291,0.5035,1
39100,0.2462,0.2492,1.872e+17,0.329,0.5033,1
39200,0.2462,0.2491,1.878e+17,0.3288,0.5032,1
39300,0.2462,0.2491,1.885e+17,0.3287,0.5031,1
39400,0.2461,0.2491,1.891e+17,0.3286,0.503,1
39500,0.2461,0.249,1.898e+17,0.3284,0.5028,1
39600,0.2461,0.249,1.905e+17,0.3283,0.5027,1
39700,0.2461,0.249,1.911e+17,0.3281,0.5026,1
39800,0.246,0.249,1.918e+17,0.328,0.5025,1
39900,0.246,0.2489,1.925e+17,0.3279,0.5024,1
41000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
42000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
43000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
44000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
45000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
46000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
47000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
48000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
49000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
50000,0.246,0.2489,1.931e+17,0.3277,0.5022,1
